Top Left Header Cell,FaxDWPCode,FaxFieldName,FaxRowNumber,Value,Operation,FaxFormID,FaxFormFieldID,PageID,ID
Row 44,FAX.CON.161,Tax–Exempt Interest – Description,2810,LOS ANGELES CA BE 4000 22JN15,Unaffected,23493,676218,2525627,33880534
Row 45,FAX.CON.162,Tax–Exempt Interest – Amount,2810,1000,Unaffected,23493,676219,2525627,33880535
Row 46,FAX.CON.213,Check If Interest State Taxable,2810,(null),Unaffected,23493,675302,2525627,33881689
Row 47,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2810,1,Unaffected,23493,671596,2525627,33881690
Row 48,FAX.CON.161,Tax–Exempt Interest – Description,2811,LOS ANGELES CA BE 4000 22JN15,Unaffected,23493,676218,2525627,33880536
Row 49,FAX.CON.162,Tax–Exempt Interest – Amount,2811,1000,Unaffected,23493,676219,2525627,33880537
Row 50,FAX.CON.213,Check If Interest State Taxable,2811,(null),Unaffected,23493,675302,2525627,33881694
Row 51,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2811,1,Unaffected,23493,671596,2525627,33881695
Row 52,FAX.CON.161,Tax–Exempt Interest – Description,2812,LOS ANGELES CA BE 5000 31MY15,Unaffected,23493,676218,2525627,33880538
Row 53,FAX.CON.162,Tax–Exempt Interest – Amount,2812,1000,Unaffected,23493,676219,2525627,33880539
Row 54,FAX.CON.213,Check If Interest State Taxable,2812,(null),Unaffected,23493,675302,2525627,33881699
Row 55,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2812,1,Unaffected,23493,671596,2525627,33881700
Row 56,FAX.CON.161,Tax–Exempt Interest – Description,2813,LOS ANGELES CA BE 5000 22JL01,Unaffected,23493,676218,2525627,33880540
Row 57,FAX.CON.162,Tax–Exempt Interest – Amount,2813,250,Unaffected,23493,676219,2525627,33880541
Row 58,FAX.CON.213,Check If Interest State Taxable,2813,(null),Unaffected,23493,675302,2525627,33881704
Row 59,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2813,1,Unaffected,23493,671596,2525627,33881705
Row 60,FAX.CON.161,Tax–Exempt Interest – Description,2814,METROPOLITAN CA BE 5000 23JL01,Unaffected,23493,676218,2525627,33880542
Row 61,FAX.CON.162,Tax–Exempt Interest – Amount,2814,1125,Unaffected,23493,676219,2525627,33880543
Row 62,FAX.CON.213,Check If Interest State Taxable,2814,(null),Unaffected,23493,675302,2525627,33881709
Row 63,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2814,1,Unaffected,23493,671596,2525627,33881710
Row 64,FAX.CON.161,Tax–Exempt Interest – Description,2815,METROPOLITAN CA BE 5000 23JL01,Unaffected,23493,676218,2525627,33880544
Row 65,FAX.CON.162,Tax–Exempt Interest – Amount,2815,1125,Unaffected,23493,676219,2525627,33880545
Row 66,FAX.CON.213,Check If Interest State Taxable,2815,(null),Unaffected,23493,675302,2525627,33881714
Row 67,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2815,1,Unaffected,23493,671596,2525627,33881715
Row 68,FAX.CON.161,Tax–Exempt Interest – Description,2816,MONTEREY PENIN CA BE 5750 41AU01,Unaffected,23493,676218,2525627,33880546
Row 69,FAX.CON.162,Tax–Exempt Interest – Amount,2816,1581,Unaffected,23493,676219,2525627,33880547
Row 70,FAX.CON.213,Check If Interest State Taxable,2816,(null),Unaffected,23493,675302,2525627,33881719
Row 71,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2816,1,Unaffected,23493,671596,2525627,33881720
Row 72,FAX.CON.161,Tax–Exempt Interest – Description,2817,ORANGE CNTY CA BE 5000 33AU15,Unaffected,23493,676218,2525627,33880548
Row 73,FAX.CON.162,Tax–Exempt Interest – Amount,2817,1000,Unaffected,23493,676219,2525627,33880549
Row 74,FAX.CON.213,Check If Interest State Taxable,2817,(null),Unaffected,23493,675302,2525627,33881724
Row 75,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2817,1,Unaffected,23493,671596,2525627,33881725
Row 76,FAX.CON.161,Tax–Exempt Interest – Description,2818,ORANGE CNTY CA BE 5000 33AU15,Unaffected,23493,676218,2525627,33880550
Row 77,FAX.CON.162,Tax–Exempt Interest – Amount,2818,1000,Unaffected,23493,676219,2525627,33880551
Row 78,FAX.CON.213,Check If Interest State Taxable,2818,(null),Unaffected,23493,675302,2525627,33881729
Row 79,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2818,1,Unaffected,23493,671596,2525627,33881730
Row 80,FAX.CON.161,Tax–Exempt Interest – Description,2819,RIVERSIDE CALI BE 4000 35AU01,Unaffected,23493,676218,2525627,33880552
Row 81,FAX.CON.162,Tax–Exempt Interest – Amount,2819,900,Unaffected,23493,676219,2525627,33880553
Row 82,FAX.CON.213,Check If Interest State Taxable,2819,(null),Unaffected,23493,675302,2525627,33881734
Row 83,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2819,1,Unaffected,23493,671596,2525627,33881735
Row 84,FAX.CON.161,Tax–Exempt Interest – Description,2820,RIVERSIDE CALI BE 4000 35AU01,Unaffected,23493,676218,2525627,33880554
Row 85,FAX.CON.162,Tax–Exempt Interest – Amount,2820,900,Unaffected,23493,676219,2525627,33880555
Row 86,FAX.CON.213,Check If Interest State Taxable,2820,(null),Unaffected,23493,675302,2525627,33881739
Row 87,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2820,1,Unaffected,23493,671596,2525627,33881740
Row 88,FAX.CON.161,Tax–Exempt Interest – Description,2821,RIVERSIDE CALI BE 5000 33JL01,Unaffected,23493,676218,2525627,33880556
Row 89,FAX.CON.162,Tax–Exempt Interest – Amount,2821,1000,Unaffected,23493,676219,2525627,33880557
Row 90,FAX.CON.213,Check If Interest State Taxable,2821,(null),Unaffected,23493,675302,2525627,33881744
Row 91,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2821,1,Unaffected,23493,671596,2525627,33881745
Row 92,FAX.CON.161,Tax–Exempt Interest – Description,2822,RIVERSIDE CALI BE 5000 33JL01,Unaffected,23493,676218,2525627,33880558
Row 93,FAX.CON.162,Tax–Exempt Interest – Amount,2822,1000,Unaffected,23493,676219,2525627,33880559
Row 94,FAX.CON.213,Check If Interest State Taxable,2822,(null),Unaffected,23493,675302,2525627,33881749
Row 95,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2822,1,Unaffected,23493,671596,2525627,33881750
Row 96,FAX.CON.161,Tax–Exempt Interest – Description,2823,SAN FRANCISCO CA BE 5000 24NV01,Unaffected,23493,676218,2525627,33880560
Row 97,FAX.CON.162,Tax–Exempt Interest – Amount,2823,875,Unaffected,23493,676219,2525627,33880561
Row 98,FAX.CON.213,Check If Interest State Taxable,2823,(null),Unaffected,23493,675302,2525627,33881754
Row 99,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2823,1,Unaffected,23493,671596,2525627,33881755
Row 100,FAX.CON.161,Tax–Exempt Interest – Description,2824,SAN FRANCISCO CA BE 5000 24NV01,Unaffected,23493,676218,2525627,33880562
Row 101,FAX.CON.162,Tax–Exempt Interest – Amount,2824,875,Unaffected,23493,676219,2525627,33880563
Row 102,FAX.CON.213,Check If Interest State Taxable,2824,(null),Unaffected,23493,675302,2525627,33881759
Row 103,FAX.CON.298,Interest Exempt % or Amount – Percent or Amount,2824,1,Unaffected,23493,671596,2525627,33881760
